EventId,EventTemplate,Occurrences
08a3c6d0,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>&rnd=<*>"",""details"":{""to"":""..<*>""}}",199
af4cca8e,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>&rnd=<*>"",""details"":{""reason"":""not_authenticated""}}",199
0f61771f,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>&rnd=<*>"",""details"":{""to"":""..<*>""}}",194
17494589,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>&rnd=<*>"",""details"":{""reason"":""not_authenticated""}}",194
568ce50d,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>"",""details"":{""query"":{""page"":""..<*>""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",127
037a5e94,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?password_new=<*>&password_conf=<*>&Change=<*>"",""details"":{""reason"":""not_authenticated""}}",118
93542204,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?password_new=<*>&password_conf=<*>&Change=<*>"",""details"":{""to"":""..<*>""}}",118
ceae39c4,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?password_new=<*>&password_conf=<*>&Change=<*>"",""details"":{""query"":{""password_new"":""***"",""password_conf"":""***"",""Change"":""Change""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",118
196d70c1,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?username=<*>&password=<*>&Login=<*>"",""details"":{""reason"":""not_authenticated""}}",114
e5f22beb,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?username=<*>&password=<*>&Login=<*>"",""details"":{""to"":""..<*>""}}",114
c204979b,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?username=<*>&password=<*>&Login=<*>"",""details"":{""query"":{""username"":""pablo"",""password"":""***"",""Login"":""Login""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",27
0f0a4937,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' AND <*>=<*> -- -"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",24
72630925,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?username=<*>&password=<*>&Login=<*>"",""details"":{""query"":{""username"":""smithy"",""password"":""***"",""Login"":""Login""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",24
a9e053a3,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?username=<*>&password=<*>&Login=<*>"",""details"":{""query"":{""username"":""admin"",""password"":""***"",""Login"":""Login""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",23
4e2af32c,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?username=<*>&password=<*>&Login=<*>"",""details"":{""query"":{""username"":""<*>"",""password"":""***"",""Login"":""Login""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",22
a3402c40,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' AND <*>=<*> /* */"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",20
84bbc694,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR IF(<*>=<*>, SLEEP(<*>.<*>), <*>) #"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",19
